Guideline Name,Description
Grade A,Like New / Mint condition/Flawless Condition
Grade B+,Still Like new with only 1-2 Hairline Scratches on Screen 
Grade B,"OEM, no cracks, Light Use, fully functional 3-5 Scratches "
Grade C,"Heavy Scratching, Cracked Glass / Good LCD, 1 x SMALL White Spot; Multiple / Major Spots = Bad LCD, Must be OEM"
Grade D,"Bad LCD, Touch Issues, Must be fully functional phone just needs new screen. We can test with another screen, After Market also = Bad LCD"
DOA,"No Power / Signs of Life; Cracked, Bad LCD, Water damaged, mixed issues TOO HEAVY BEND / DAMAGE / MISSING PARTS MAY BE SUBJECT TO LOWER PRICE"
,
,
,
,
,
,
,
,
,
